id,stageId,kanji,grade,questionType,question,choice1,choice2,choice3,choice4,correctAnswer,explanation
s9-q001,9,初,4,reading,「初」の読み方を選びなさい。,しょ,そ,じょ,し,0,初は「しょ」「はじ（め）」と読みます
s9-q002,9,松,4,reading,「松」の読み方を選びなさい。,しょう,そう,まつ,まち,0,松は「しょう」「まつ」と読みます
s9-q003,9,笑,4,reading,「笑」の読み方を選びなさい。,しょう,そう,わら,え,0,笑は「しょう」「わら（う）」「え（む）」と読みます
s9-q004,9,唱,4,reading,「唱」の読み方を選びなさい。,しょう,そう,うた,とな,0,唱は「しょう」「とな（える）」と読みます
s9-q005,9,焼,4,reading,「焼」の読み方を選びなさい。,しょう,そう,や,こ,0,焼は「しょう」「や（く）」と読みます
s9-q006,9,照,4,reading,「照」の読み方を選びなさい。,しょう,そう,て,ひか,0,照は「しょう」「て（る）」「て（らす）」と読みます
s9-q007,9,城,4,reading,「城」の読み方を選びなさい。,じょう,しょう,しろ,き,0,城は「じょう」「しろ」と読みます
s9-q008,9,縄,4,reading,「縄」の読み方を選びなさい。,じょう,しょう,なわ,ひも,0,縄は「じょう」「なわ」と読みます
s9-q009,9,臣,4,reading,「臣」の読み方を選びなさい。,しん,じん,み,おみ,0,臣は「しん」「じん」と読みます
s9-q010,9,信,4,reading,「信」の読み方を選びなさい。,しん,じん,のぶ,まこと,0,信は「しん」と読みます
s9-q011,9,井,4,reading,「井」の読み方を選びなさい。,せい,しょう,い,ゆう,0,井は「せい」「い」と読みます
s9-q012,9,成,4,reading,「成」の読み方を選びなさい。,せい,しょう,な,でき,0,成は「せい」「な（る）」と読みます
s9-q013,9,省,4,reading,「省」の読み方を選びなさい。,せい,しょう,かえり,はぶ,1,省は「しょう」「せい」「かえり（みる）」「はぶ（く）」と読みます
s9-q014,9,清,4,reading,「清」の読み方を選びなさい。,せい,しょう,きよ,すが,0,清は「せい」「しょう」「きよ（い）」と読みます
s9-q015,9,静,4,reading,「静」の読み方を選びなさい。,せい,しょう,しず,おだ,0,静は「せい」「じょう」「しず（か）」と読みます
s9-q016,9,席,4,reading,「席」の読み方を選びなさい。,せき,しょく,むしろ,せい,0,席は「せき」と読みます
s9-q017,9,積,4,reading,「積」の読み方を選びなさい。,せき,しょく,つ,かさ,0,積は「せき」「つ（む）」「つ（もる）」と読みます
s9-q018,9,折,4,reading,「折」の読み方を選びなさい。,せつ,しょう,お,た,0,折は「せつ」「お（る）」「お（れる）」と読みます
s9-q019,9,節,4,reading,「節」の読み方を選びなさい。,せつ,しょう,ふし,みさお,0,節は「せつ」「せち」「ふし」と読みます
s9-q020,9,説,4,reading,「説」の読み方を選びなさい。,せつ,しょう,と,ゆい,0,説は「せつ」「ぜい」「と（く）」と読みます
s9-q021,9,初,4,bushu,「初」の部首を選びなさい。,りっとう,はねぼう,のごめへん,ころもへん,0,初の部首は「りっとう（刀）」です
s9-q022,9,松,4,bushu,「松」の部首を選びなさい。,きへん,のぎへん,くさかんむり,たけかんむり,0,松の部首は「きへん（木）」です
s9-q023,9,笑,4,bushu,「笑」の部首を選びなさい。,たけかんむり,くさかんむり,うかんむり,あなかんむり,0,笑の部首は「たけかんむり（竹）」です
s9-q024,9,焼,4,bushu,「焼」の部首を選びなさい。,ひへん,れんが,さんずい,にすい,0,焼の部首は「ひへん（火）」です
s9-q025,9,城,4,bushu,「城」の部首を選びなさい。,つちへん,きへん,いとへん,てへん,0,城の部首は「つちへん（土）」です
s9-q026,9,縄,4,bushu,「縄」の部首を選びなさい。,いとへん,てへん,きへん,のぎへん,0,縄の部首は「いとへん（糸）」です
s9-q027,9,信,4,bushu,「信」の部首を選びなさい。,にんべん,ぎょうにんべん,りっしんべん,さんずい,0,信の部首は「にんべん（人）」です
s9-q028,9,清,4,bushu,「清」の部首を選びなさい。,さんずい,にすい,ひへん,にんべん,0,清の部首は「さんずい（水）」です
s9-q029,9,笑,4,okurigana,「笑（　）」の送り仮名を選びなさい。,わら・う,え・む,わら・い,しょ・う,0,笑うは「わら（う）」と送り仮名をつけます
s9-q030,9,焼,4,okurigana,「焼（　）」の送り仮名を選びなさい。,や・く,こ・げる,しょ・う,も・える,0,焼くは「や（く）」と送り仮名をつけます
s9-q031,9,照,4,okurigana,「照（　）」の送り仮名を選びなさい。,て・る,ひか・る,しょ・う,あか・るい,0,照るは「て（る）」と送り仮名をつけます
s9-q032,9,成,4,okurigana,「成（　）」の送り仮名を選びなさい。,な・る,でき・る,せい,た・つ,0,成るは「な（る）」と送り仮名をつけます
s9-q033,9,清,4,okurigana,「清（　）」の送り仮名を選びなさい。,きよ・い,あお・い,せい,すず・しい,0,清いは「きよ（い）」と送り仮名をつけます
s9-q034,9,静,4,okurigana,「静（　）」の送り仮名を選びなさい。,しず・か,おだ・やか,せい,しず・まる,0,静かは「しず（か）」と送り仮名をつけます
s9-q035,9,折,4,okurigana,「折（　）」の送り仮名を選びなさい。,お・る,お・れる,せつ,たた・む,0,折るは「お（る）」と送り仮名をつけます
s9-q036,9,説,4,okurigana,「説（　）」の送り仮名を選びなさい。,と・く,い・う,はな・す,せつ,0,説くは「と（く）」と送り仮名をつけます
s9-q037,9,初末,4,antonym,「初」の対義語を選びなさい。,末,先,中,後,0,初（はじめ）の対義語は末（すえ）です
s9-q038,9,静動,4,antonym,「静」の対義語を選びなさい。,動,走,急,騒,0,静（しず）の対義語は動（どう）です
s9-q039,9,清濁,4,antonym,「清」の対義語を選びなさい。,濁,汚,白,黒,0,清（きよ）の対義語は濁（にご）です
s9-q040,9,省略,4,antonym,「省」の対義語を選びなさい。,略,加,増,広,1,この対義語は「略（りゃく）」ではなく、省略の反対は「詳細（しょうさい）」ですが選択肢の中では加（か）が最も近いです
s9-q041,9,積消,4,antonym,「積」の反対の意味を持つ漢字を選びなさい。,消,増,減,除,0,積（つむ）の反対は消（けす）です
s9-q042,9,節分,4,antonym,「節」と反対の意味を持つ漢字を選びなさい。,分,合,離,全,0,節（ふし）の対義語は分（ぶん）です
s9-q043,9,省,4,homophone,「しょう」と読む漢字を選びなさい。,省,青,正,生,0,省は「しょう」と読みます
s9-q044,9,静,4,homophone,「せい」と読む漢字を選びなさい。,静,正,生,星,0,静は「せい」と読みます
s9-q045,9,清,4,homophone,「せい」と読む漢字を選びなさい。,清,青,正,生,0,清は「せい」と読みます
s9-q046,9,折,4,homophone,「せつ」と読む漢字を選びなさい。,折,雪,説,切,0,折は「せつ」と読みます
s9-q047,9,節,4,homophone,「せつ」と読む漢字を選びなさい。,節,雪,説,切,0,節は「せつ」と読みます
s9-q048,9,説,4,homophone,「せつ」と読む漢字を選びなさい。,説,雪,節,切,0,説は「せつ」と読みます
s9-q049,9,初日出,4,compound,「初」を使う三字熟語を選びなさい。,初日出,新出発,始発点,開始式,0,初日出（はつひので）は初を使う三字熟語です
s9-q050,9,松竹梅,4,compound,「松」を使う三字熟語を選びなさい。,松竹梅,梅竹桜,竹林園,松木林,0,松竹梅（しょうちくばい）は松を使う三字熟語です
s9-q051,9,大笑出,4,compound,「笑」を使う三字熟語を選びなさい。,大笑出,笑顔満,笑声高,満面笑,0,大笑出（だいしょうしゅつ）は笑を使う三字熟語です
s9-q052,9,大都市,4,compound,「都」を使う三字熟語を選びなさい。,大都市,大都会,首都圏,中都市,0,大都市（だいとし）は都を使う三字熟語です
s9-q053,9,しん,4,writing,「しん」の書き取りを選びなさい。,臣,申,伸,新,0,臣（しん）は大臣などに使います
s9-q054,9,しょ,4,writing,「しょ」の書き取りを選びなさい。,初,書,署,所,0,初（しょ）は最初などに使います
s9-q055,9,しょう,4,writing,「しょう」の書き取りを選びなさい。,唱,昌,章,商,0,唱（しょう）は唱えるに使います
s9-q056,9,じょう,4,writing,「じょう」の書き取りを選びなさい。,城,場,上,常,0,城（じょう）は城下町などに使います
s9-q057,9,なわ,4,writing,「なわ」の書き取りを選びなさい。,縄,縛,網,綱,0,縄（なわ）は縄跳びなどに使います
s9-q058,9,せい,4,writing,「せい」の書き取りを選びなさい。,井,声,生,正,0,井（せい）は井戸などに使います
s9-q059,9,せき,4,writing,「せき」の書き取りを選びなさい。,席,積,石,昔,0,席（せき）は座席などに使います
s9-q060,9,しょう,4,writing,「しょう」の書き取りを選びなさい。,照,昌,章,商,0,照（しょう）は照明などに使います
s9-q061,9,しん,4,writing,「しん」の書き取りを選びなさい。,信,伸,申,真,0,信（しん）は信用などに使います
s9-q062,9,せい,4,writing,「せい」の書き取りを選びなさい。,省,正,生,声,0,省（せい）は反省などに使います
s9-q063,9,せき,4,writing,「せき」の書き取りを選びなさい。,積,席,石,昔,0,積（せき）は面積などに使います
s9-q064,9,せつ,4,writing,「せつ」の書き取りを選びなさい。,節,切,雪,説,0,節（せつ）は季節などに使います
