id,stageId,kanji,grade,questionType,question,choice1,choice2,choice3,choice4,correctAnswer,explanation
s4-q001,4,通,2,reading,「通」の読み方を選びなさい。,とお,つう,かよ,みち,0,通は「とお（る）」「つう」「かよ（う）」と読みます
s4-q002,4,弟,2,reading,「弟」の読み方を選びなさい。,おとうと,てい,だい,あに,0,弟は「おとうと」「てい」「だい」と読みます
s4-q003,4,店,2,reading,「店」の読み方を選びなさい。,みせ,てん,たな,や,0,店は「みせ」「てん」と読みます
s4-q004,4,点,2,reading,「点」の読み方を選びなさい。,てん,つ,ちょぼ,まる,0,点は「てん」と読みます
s4-q005,4,電,2,reading,「電」の読み方を選びなさい。,でん,いなずま,かみなり,ひかり,0,電は「でん」と読みます
s4-q006,4,刀,2,reading,「刀」の読み方を選びなさい。,かたな,とう,やいば,けん,0,刀は「かたな」「とう」と読みます
s4-q007,4,冬,2,reading,「冬」の読み方を選びなさい。,ふゆ,とう,なつ,あき,0,冬は「ふゆ」「とう」と読みます
s4-q008,4,当,2,reading,「当」の読み方を選びなさい。,あ,とう,た,まさ,0,当は「あ（たる）」「とう」と読みます
s4-q009,4,東,2,reading,「東」の読み方を選びなさい。,ひがし,とう,あずま,にし,0,東は「ひがし」「とう」と読みます
s4-q010,4,答,2,reading,「答」の読み方を選びなさい。,こた,とう,こたえ,とい,0,答は「こた（える）」「とう」と読みます
s4-q011,4,頭,2,reading,「頭」の読み方を選びなさい。,あたま,とう,ず,かしら,0,頭は「あたま」「とう」「ず」と読みます
s4-q012,4,同,2,reading,「同」の読み方を選びなさい。,おな,どう,とも,こと,0,同は「おな（じ）」「どう」と読みます
s4-q013,4,道,2,reading,「道」の読み方を選びなさい。,みち,どう,とう,じ,0,道は「みち」「どう」と読みます
s4-q014,4,読,2,reading,「読」の読み方を選びなさい。,よ,どく,とく,とう,0,読は「よ（む）」「どく」「とく」と読みます
s4-q015,4,内,2,reading,「内」の読み方を選びなさい。,うち,ない,だい,そと,0,内は「うち」「ない」と読みます
s4-q016,4,南,2,reading,「南」の読み方を選びなさい。,みなみ,なん,なみ,きた,0,南は「みなみ」「なん」と読みます
s4-q017,4,肉,2,reading,「肉」の読み方を選びなさい。,にく,じく,しし,ぶた,0,肉は「にく」と読みます
s4-q018,4,馬,2,reading,「馬」の読み方を選びなさい。,うま,ば,ま,め,0,馬は「うま」「ば」「ま」と読みます
s4-q019,4,売,2,reading,「売」の読み方を選びなさい。,う,ばい,うり,か,0,売は「う（る）」「ばい」と読みます
s4-q020,4,買,2,reading,「買」の読み方を選びなさい。,か,ばい,こう,う,0,買は「か（う）」「ばい」と読みます
s4-q021,4,通,2,bushu,「通」の部首の名前を選びなさい。,しんにょう,つう,みち,えんにょう,0,通の部首は「しんにょう」です
s4-q022,4,道,2,bushu,「道」の部首の名前を選びなさい。,しんにょう,みち,どう,えんにょう,0,道の部首は「しんにょう」です
